screen,section,key,text,severity,anim_hint
METRICS OVERLOAD,Flags,FLAG_E7,FLAG E7 :: MEMORY FRAGMENT LEAK,critical,flash_once
METRICS OVERLOAD,Flags,FLAG_Z9,FLAG Z9 :: NON-COMPLIANCE FORECAST,critical,flash_once
METRICS OVERLOAD,System Voice,SYS_01,MAINTAIN POSITION,info,type_on
METRICS OVERLOAD,System Voice,SYS_02,COMPLIANCE IMPROVES SURVIVAL PROBABILITY,info,type_on
METRICS OVERLOAD,System Voice,SYS_03,EMOTIONAL DISTRESS IS NON-CRITICAL,warning,type_on
METRICS OVERLOAD,System Voice,SYS_04,HUMAN FACTOR WEIGHT : MINIMAL,warning,steady
DIRECTIVE / DESCENT,Header,DROP_TIMER,DROP IN: 00:15,critical,pulse_hard
DIRECTIVE / DESCENT,Command,ORDER_01,STAND BY,info,type_on
DIRECTIVE / DESCENT,Command,ORDER_02,FACE FORWARD,info,type_on
DIRECTIVE / DESCENT,Command,ORDER_03,ACKNOWLEDGE DIRECTIVE,warning,type_on
DIRECTIVE / DESCENT,Command,ORDER_04,COMPLY WITH TERMINAL INSTRUCTIONS,info,type_on
DIRECTIVE / DESCENT,Command,ORDER_05,UNAUTHORIZED MOVEMENT WILL BE CORRECTED,warning,flash_once
DIRECTIVE / DESCENT,Readiness,ACCESS,ACCESS PROFILE :: CONSTRAINED,warning,steady
DIRECTIVE / DESCENT,Readiness,NAV,NAV LINK : SPOOFED SIGNALS DETECTED,critical,jitter_subtle
DIRECTIVE / DESCENT,Alarms,ALARM_01,PROXIMITY ALERT // SHAFT VIBRATION,warning,flash_once
DIRECTIVE / DESCENT,Alarms,ALARM_02,AUDIO FEED // UNKNOWN METALLIC IMPACT,critical,flash_once
DIRECTIVE / DESCENT,Alarms,ALARM_03,SIGNAL LOSS IN 3...2...1...,critical,pulse_hard
DIRECTIVE / DESCENT,Footer,FINAL_GLITCH,### TRANSMISSION CORRUPTED ###,critical,glitch_hard
INPUT PROMPT,Primary,CTA_RU,ВВЕСТИ,critical,pulse_hard
INPUT PROMPT,Primary,CTA_HOLD_RU,НАЖМИТЕ И УДЕРЖИВАЙТЕ,critical,blink_slow
INPUT PROMPT,Secondary,INPUT_REQUIRED,INPUT REQUIRED,info,steady
INPUT PROMPT,Secondary,NO_INPUT,NO INPUT ACCEPTED,warning,type_on
INPUT PROMPT,Secondary,OVERRIDE_DENIED,OVERRIDE DENIED,warning,flash_once
STYLE TOKENS,Palette,WHITE_MAIN,#F2F5F7,info,steady
STYLE TOKENS,Palette,WHITE_GHOST,#9AA7B3,info,steady
STYLE TOKENS,Palette,RED_ALERT,#FF2A2A,critical,steady
STYLE TOKENS,Palette,BLACK_BG,#030507,info,steady
STYLE TOKENS,FX,GHOST_LAYER,DUPLICATE TEXT Y+6 OPACITY 15%,info,steady
STYLE TOKENS,FX,SCAN_JITTER,X SHIFT 1-2 PX EVERY 1.2 S,warning,jitter_subtle
STYLE TOKENS,FX,HARD_FLASH,1-FRAME RED FLASH ON CRITICAL UPDATE,critical,flash_once
STYLE TOKENS,FX,TYPEWRITER,20-40 MS/CHAR WITH RANDOM STALLS,info,type_on
